年月日,收盤價(元),報酬率％
20160701,16.2,0.3096
20160704,16.65,2.7778
20160705,16.7,0.3003
20160706,16.85,0.8982
20160707,17,0.8902
20160711,16.85,-0.8824
20160712,16.9,0.2967
20160713,17.25,2.071
20160714,17.65,2.3188
20160715,17.35,-1.6997
20160718,17.35,0
20160719,17.6,1.4409
20160720,17.75,0.8523
20160721,17.7,-0.2817
20160722,17.75,0.2825
20160725,17.75,0
20160726,17.6,-0.8451
20160727,17.55,-0.2841
20160728,16.85,1.7408
20160729,16.8,-0.2967
20160801,16.7,-0.5952
20160802,16.55,-0.8982
20160803,16.3,-1.5106
20160804,16.2,-0.6135
20160805,16.35,0.9259
20160808,16.35,0
20160809,16.5,0.9174
20160810,16.5,0
20160811,16.6,0.6061
20160812,16.55,-0.3012
20160815,16.4,-0.9063
20160816,16.3,-0.6098
20160817,16.75,2.7607
20160818,17.25,2.9851
20160819,17.15,-0.5797
20160822,17.2,0.2915
20160823,16.9,-1.7442
20160824,16.9,0
20160825,17.1,1.1834
20160826,16.85,-1.462
20160829,16.65,-1.1869
20160830,16.45,-1.2012
20160831,16.3,-0.9119
20160901,15.9,-2.454
20160902,15.95,0.3145
20160905,16,0.3135
20160906,16.2,1.25
20160907,16.4,1.2346
20160908,16.35,-0.3049
20160909,16.55,1.2232
20160910,16.2,-2.1148
20160912,16.1,-0.6173
20160913,16.05,-0.3106
20160914,16.1,0.3115
20160919,15.95,-0.9317
20160920,16,0.3135
20160921,16.1,0.625
20160922,15.9,-1.2422
20160923,16.15,1.5723
20160926,16,-0.9288
20160929,16.3,1.875
20160930,16.15,-0.9202
20161003,16.1,-0.3096
20161004,16.35,1.5528
20161005,16.35,0
20161006,16.3,-0.3058
20161007,16.05,-1.5337
20161011,16.1,0.3115
20161012,15.9,-1.2422
20161013,15.95,0.3145
20161014,15.8,-0.9404
20161017,15.8,0
20161018,15.75,-0.3165
20161019,15.85,0.6349
20161020,16.05,1.2618
20161021,15.95,-0.6231
20161024,16.05,0.627
20161025,15.95,-0.6231
20161026,16.55,3.7618
20161027,16.5,-0.3021
20161028,16.4,-0.6061
20161031,16.6,1.2195
20161101,16.45,-0.9036
20161102,16.4,-0.304
20161103,16.15,-1.5244
20161104,16.3,0.9288
20161107,16.85,3.3742
20161108,17.15,1.7804
20161109,16.5,-3.7901
20161110,17.5,6.0606
20161111,17.6,0.5714
20161114,17.85,1.4205
20161115,18.35,2.8011
20161116,18.1,-1.3624
20161117,17.9,-1.105
20161118,17.95,0.2793
20161121,18.2,1.3928
20161122,18.2,0
20161123,18.15,-0.2747
20161124,18.3,0.8264
20161125,18.2,-0.5464
20161128,18.8,3.2967
20161129,18.75,-0.266
20161130,18.4,-1.8667
20161201,18.2,-1.087
20161202,18.2,0
20161205,18.2,0
20161206,18.3,0.5495
20161207,18.45,0.8197
20161208,18.4,-0.271
20161209,18.35,-0.2717
20161212,18.25,-0.545
20161213,18.6,1.9178
20161214,18.5,-0.5376
20161215,18.45,-0.2703
20161216,18.65,1.084
20161219,18.15,-2.681
20161220,18.2,0.2755
20161221,18.1,-0.5495
20161222,17.65,-2.4862
20161223,17.5,-0.8499
20161226,17.25,-1.4286
20161227,17.45,1.1594
20161228,17.65,1.1461
20161229,17.55,-0.5666
20161230,17.6,0.2849
20170103,17.9,1.7045
20170104,18,0.5587
20170105,18.05,0.2778
20170106,18.1,0.277
20170109,18.05,-0.2762
20170110,18,-0.277
20170111,18.35,1.9444
20170112,18.25,-0.545
20170113,18.35,0.5479
20170116,18.1,-1.3624
20170117,18.1,0
20170118,17.85,-1.3812
20170119,18.25,2.2409
20170120,18.1,-0.8219
20170123,18.2,0.5525
20170124,18.15,-0.2747
20170202,18.2,0.2755
20170203,18.45,1.3736
20170206,18.15,-1.626
20170207,18.15,0
20170208,17.9,-1.3774
20170209,17.85,-0.2793
20170210,17.85,0
20170213,18.1,1.4006
20170214,18.35,1.3812
20170215,18.85,2.7248
20170216,18.55,-1.5915
20170217,18.55,0
20170218,18.45,-0.5391
20170220,18.4,-0.271
20170221,18.35,-0.2717
20170222,18.45,0.545
20170223,18.1,-1.897
20170224,17.9,-1.105
20170301,18.4,2.7933
20170302,18.4,0
20170303,18.2,-1.087
20170306,18.15,-0.2747
20170307,18.4,1.3774
20170308,18.2,-1.087
20170309,18.05,-0.8242
20170310,18,-0.277
20170313,17.7,-1.6667
20170314,17.65,-0.2825
20170315,17.5,-0.8499
20170316,17.6,0.5714
20170317,18.3,3.9773
20170320,18.05,-1.3661
20170321,18.15,0.554
20170322,18,-0.8264
20170323,17.9,-0.5556
20170324,17.85,-0.2793
20170327,17.65,-1.1204
20170328,17.6,-0.2833
20170329,17.7,0.5682
20170330,17.6,-0.565
20170331,17.85,1.4205
20170405,17.4,-2.521
20170406,17.4,0
20170407,17.4,0
20170410,17.45,0.2874
20170411,17.55,0.5731
20170412,17.6,0.2849
20170413,17.5,-0.5682
20170414,17.4,-0.5714
20170417,17.15,-1.4368
20170418,17.35,1.1662
20170419,16.65,-4.0346
20170420,16.6,-0.3003
20170421,16.6,0
20170424,16.5,-0.6024
20170425,16.75,1.5152
20170426,16.75,0
20170427,16.65,-0.597
20170428,16.6,-0.3003
20170502,16.75,0.9036
20170503,16.65,-0.597
20170504,16.7,0.3003
20170505,16.4,-1.7964
20170508,16.3,-0.6098
20170509,16.3,0
20170510,16.7,2.454
20170511,16.7,0
20170512,16.65,-0.2994
20170515,16.7,0.3003
20170516,16.85,0.8982
20170517,16.8,-0.2967
20170518,16.65,-0.8929
20170519,16.65,0
20170522,16.7,0.3003
20170523,16.75,0.2994
20170524,16.85,0.597
20170525,16.95,0.5935
20170526,17,0.295
20170531,16.9,-0.5882
20170601,16.7,-1.1834
20170602,16.7,0
20170603,16.6,-0.5988
20170605,16.65,0.3012
20170606,16.55,-0.6006
20170607,16.55,0
20170608,16.7,0.9063
20170609,16.85,0.8982
20170612,16.85,0
20170613,16.95,0.5935
20170614,16.85,-0.59
20170615,16.9,0.2967
20170616,17.35,2.6627
20170619,17,-2.0173
20170620,17,0
20170621,17.1,0.5882
20170622,17,-0.5848
20170623,17,0
20170626,17.35,2.0588
20170627,17.35,0
20170628,17.15,-1.1527
20170629,17.3,0.8746
20170630,17.35,0.289
20170703,17.5,0.8646
20170704,17.4,-0.5714
20170705,17.55,0.8621
20170706,17.55,0
20170707,17.5,-0.2849
20170710,17.45,-0.2857
20170711,17.45,0
20170712,17.6,0.8596
20170713,17.9,1.7045
20170714,18.2,1.676
20170717,18.3,0.5495
20170718,18.35,0.2732
20170719,18.15,-1.0899
20170720,18,-0.8264
20170721,18.1,0.5556
20170724,18.1,0
20170725,18.1,0
20170726,17.3,1.1867
20170727,17.35,0.289
20170728,17.3,-0.2882
20170731,17.35,0.289
20170801,17.8,2.5937
20170802,17.75,-0.2809
20170803,17.9,0.8451
20170804,17.85,-0.2793
20170807,18.05,1.1204
20170808,17.9,-0.831
20170809,17.9,0
20170810,17.6,-1.676
20170811,17.8,1.1364
20170814,17.8,0
20170815,17.85,0.2809
20170816,17.8,-0.2801
20170817,18.1,1.6854
20170818,18.1,0
20170821,18.15,0.2762
20170822,18.8,3.5813
20170823,18.6,-1.0638
20170824,19.1,2.6882
20170825,18.85,-1.3089
20170828,18.95,0.5305
20170829,19,0.2639
20170830,19,0
20170831,19,0
20170901,19.05,0.2632
