a,o,h,l,c,v,t
694.79,695,697,693,695,281,2022-07-25 09:01:00
694.68,695,696,693,695,147,2022-07-25 09:02:00
694.66,694,695,694,695,42,2022-07-25 09:03:00
694.6,695,695,693,693,66,2022-07-25 09:04:00
694.52,694,694,693,694,40,2022-07-25 09:05:00
694.34,694,694,691,691,57,2022-07-25 09:06:00
694.16,691,692,691,691,39,2022-07-25 09:07:00
693.81,691,692,690,691,77,2022-07-25 09:08:00
693.66,691,692,690,691,44,2022-07-25 09:09:00
693.6,690,691,690,691,15,2022-07-25 09:10:00
693.44,690,692,690,692,49,2022-07-25 09:11:00
693.35,692,692,691,691,34,2022-07-25 09:12:00
693.33,692,692,692,692,17,2022-07-25 09:13:00
693.29,692,693,692,693,29,2022-07-25 09:14:00
693.29,693,694,693,693,23,2022-07-25 09:15:00
693.28,693,693,692,692,18,2022-07-25 09:16:00
693.28,693,694,693,694,24,2022-07-25 09:17:00
693.38,694,697,694,697,58,2022-07-25 09:18:00
693.53,696,697,695,697,62,2022-07-25 09:19:00
693.62,698,698,697,697,22,2022-07-25 09:20:00
693.74,698,698,695,696,45,2022-07-25 09:21:00
693.75,696,696,696,696,5,2022-07-25 09:22:00
693.76,695,695,693,693,58,2022-07-25 09:23:00
693.71,693,693,692,692,46,2022-07-25 09:24:00
693.71,693,693,692,693,7,2022-07-25 09:25:00
693.71,693,694,693,694,7,2022-07-25 09:26:00
693.71,694,694,694,694,10,2022-07-25 09:27:00
693.69,693,693,692,692,27,2022-07-25 09:28:00
693.67,692,692,692,692,18,2022-07-25 09:29:00
693.66,692,694,692,694,21,2022-07-25 09:30:00
693.66,694,695,694,695,7,2022-07-25 09:31:00
693.67,695,695,693,694,15,2022-07-25 09:32:00
693.66,694,694,692,692,13,2022-07-25 09:33:00
693.65,693,693,693,693,20,2022-07-25 09:34:00
693.66,694,695,693,693,23,2022-07-25 09:35:00
693.67,694,694,694,694,3,2022-07-25 09:37:00
693.63,694,694,692,692,43,2022-07-25 09:38:00
693.62,692,692,691,692,7,2022-07-25 09:39:00
693.58,692,692,691,691,32,2022-07-25 09:40:00
693.56,691,691,691,691,9,2022-07-25 09:41:00
693.55,691,692,691,692,10,2022-07-25 09:42:00
693.49,691,694,691,694,64,2022-07-25 09:43:00
693.5,694,695,693,693,18,2022-07-25 09:44:00
693.49,693,693,692,692,26,2022-07-25 09:45:00
693.48,693,693,692,692,7,2022-07-25 09:46:00
693.48,693,693,693,693,3,2022-07-25 09:47:00
693.48,693,693,692,693,7,2022-07-25 09:48:00
693.47,693,694,692,694,65,2022-07-25 09:49:00
693.47,693,693,693,693,3,2022-07-25 09:50:00
693.46,694,694,692,693,36,2022-07-25 09:51:00
693.41,693,693,691,692,114,2022-07-25 09:52:00
693.41,692,693,692,693,3,2022-07-25 09:53:00
693.39,692,692,691,691,14,2022-07-25 09:54:00
693.38,692,692,691,692,21,2022-07-25 09:55:00
693.37,692,692,692,692,12,2022-07-25 09:56:00
693.36,692,693,692,693,11,2022-07-25 09:58:00
693.36,693,693,693,693,4,2022-07-25 09:59:00
693.36,692,693,692,693,20,2022-07-25 10:00:00
693.36,693,694,693,694,34,2022-07-25 10:01:00
